"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","SortDescendingAndSetRanks_NonEqualItems_SortedWithIncreasingRanks","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","RankingHelperTests","SortDescendingAndSetRanks_NonEqualItems_SortedWithIncreasingRanks"
"","2","Compare_EqualItems_ReturnsEqual","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","GroupRankingComparerTests","Compare_EqualItems_ReturnsEqual"
"","14","MatchValidator_ShouldFail_MatchIsOverButHasFutureDate","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","MatchValidatorTests","MatchValidator_ShouldFail_MatchIsOverButHasFutureDate"
"","0","GoalValidator_ShouldPass_WhenGoalsReasonable(0)","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","GoalValidatorTests","GoalValidator_ShouldPass_WhenGoalsReasonable"
"","0","GoalValidator_ShouldPass_WhenGoalsReasonable(1)","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","GoalValidatorTests","GoalValidator_ShouldPass_WhenGoalsReasonable"
"","17","SortDescendingAndSetRanks_GivenComparerIsUsed","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","RankingHelperTests","SortDescendingAndSetRanks_GivenComparerIsUsed"
"","50","SortDescendingAndSetRanks_FirstItem_HasRankOfOne","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","RankingHelperTests","SortDescendingAndSetRanks_FirstItem_HasRankOfOne"
"","0","GoalValidator_ShouldPass_WhenGoalsReasonable(5)","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","GoalValidatorTests","GoalValidator_ShouldPass_WhenGoalsReasonable"
"","28","CommunityNameValidator_ShouldFail_WhenGivenNameIsAlreadyUsed","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","CommunityNameValidatorTests","CommunityNameValidator_ShouldFail_WhenGivenNameIsAlreadyUsed"
"","1","SortDescendingAndSetRanks_TwoIdenticalRankingItems_IdenticalRankIsGiven","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","RankingHelperTests","SortDescendingAndSetRanks_TwoIdenticalRankingItems_IdenticalRankIsGiven"
"","0","UsernameValidator_ShouldPass_WhenGivenNameReasonable(""abc"")","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","UsernameValidatorTests","UsernameValidator_ShouldPass_WhenGivenNameReasonable"
